series_title;my_finish_date;my_score;my_status;my_watched_episodes;my_start_date;series_episodes;series_type;series_animedb_id
Kumo desu ga, Nani ka?;2022-01-27;7;Completed;24;2021-01-16;24;TV;37984
Kuroshitsuji;2019-01-07;8;Completed;24;2018-12-30;24;TV;4898
Kuroshitsuji II;2019-07-17;7;Completed;12;2019-07-01;12;TV;6707
Kuroshitsuji: Book of Circus;0000-00-00;0;On-Hold;3;2021-01-30;10;TV;22145
Kuroshitsuji: Sono Shitsuji, Kougyou;2019-07-17;6;Completed;1;2019-07-17;1;Special;6793
Kyokou Suiri;2020-03-31;7;Completed;12;2020-01-11;12;TV;39017
Little Witch Academia;2024-06-18;8;Completed;1;2024-06-18;1;Movie;14349
Little Witch Academia (TV);0000-00-00;0;Plan to Watch;0;0000-00-00;25;TV;33489
Little Witch Academia: Mahoujikake no Parade;2024-06-19;8;Completed;1;2024-06-19;1;Movie;19489
Look Back;0000-00-00;0;Plan to Watch;0;0000-00-00;1;Movie;58125
Lucky☆Star;0000-00-00;0;Plan to Watch;0;0000-00-00;24;TV;1887
Made in Abyss;2020-12-02;9;Completed;13;2020-12-01;13;TV;34599
Made in Abyss Movie 3: Fukaki Tamashii no Reimei;2020-12-03;9;Completed;1;2020-12-03;1;Movie;36862
Made in Abyss: Retsujitsu no Ougonkyou;2022-11-21;9;Completed;12;2022-07-17;12;TV;41084
Majo no Tabitabi;2020-12-21;8;Completed;12;2020-10-13;12;TV;40571
Majo no Takkyuubin;2024-11-12;8;Completed;1;2024-11-12;1;Movie;512
Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou;0000-00-00;0;Plan to Watch;0;0000-00-00;12;TV;48417
Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou;2020-09-26;7;Completed;13;2020-07-06;13;TV;40496
Mashle;2023-07-01;8;Completed;12;2023-04-21;12;TV;52211
Mashle: Shinkakusha Kouho Senbatsu Shiken-hen;2024-04-21;8;Completed;12;2024-02-15;12;TV;55813
MF Ghost;2024-03-14;7;Completed;12;2024-03-12;12;TV;50695
MF Ghost 2nd Season;0000-00-00;0;Watching;7;2024-10-17;12;TV;57559
Mikan-bune;2020-01-30;2;Completed;1;2020-01-30;1;Movie;7497
Mimi wo Sumaseba;2024-11-14;10;Completed;1;2024-11-14;1;Movie;585
Mirai Nikki;2018-06-15;7;Completed;1;2018-06-15;1;OVA;8460
Mirai Nikki (TV);2018-06-15;6;Completed;26;2018-06-10;26;TV;10620
Mirai Nikki: Redial;2018-06-15;5;Completed;1;2018-06-15;1;OVA;16762
Mirai Shounen Conan;0000-00-00;0;Plan to Watch;0;0000-00-00;26;TV;302
Mob Psycho 100;2020-12-28;9;Completed;12;2020-12-18;12;TV;32182
Mob Psycho 100 II;2021-01-25;10;Completed;13;2021-01-04;13;TV;37510
Mob Psycho 100 III;2023-04-24;9;Completed;12;2022-11-24;12;TV;50172
Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi;2021-01-25;8;Completed;1;2021-01-25;1;OVA;39651
Mob Psycho 100: Reigen - Shirarezaru Kiseki no Reinouryokusha;2020-12-28;7;Completed;1;2020-12-28;1;Special;36616
Monogatari Series: Off & Monster Season;0000-00-00;0;Plan to Watch;0;0000-00-00;14;ONA;57864
Monogatari Series: Second Season;2020-09-16;10;Completed;26;2020-08-25;26;TV;17074
Mononoke Hime;2024-11-08;9;Completed;1;2024-11-08;1;Movie;164
Monster;2024-02-11;9;Completed;74;2023-07-06;74;TV;19
Monsters: Ippyaku Sanjou Hiryuu Jigoku;2024-06-10;8;Completed;1;2024-06-10;1;ONA;56055
Mugen no Juunin: Immortal;2020-03-26;5;Completed;24;2019-10-13;24;ONA;39806
Mushoku Tensei: Isekai Ittara Honki Dasu;2021-04-18;8;Completed;11;2021-01-15;11;TV;39535
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2;0000-00-00;0;Plan to Watch;0;0000-00-00;12;TV;45576
Nanatsu no Taizai;2018-06-02;8;Completed;24;2018-06-01;24;TV;23755
Nanatsu no Taizai Movie 1: Tenkuu no Torawarebito;2018-08-23;7;Completed;1;2018-08-23;1;Movie;35946
Nanatsu no Taizai Movie 2: Hikari ni Norowareshi Mono-tachi;2022-02-27;6;Completed;1;2022-02-27;1;Movie;46420
Nanatsu no Taizai OVA;2018-06-02;7;Completed;2;2018-06-02;2;OVA;30347
Nanatsu no Taizai: Funnu no Shinpan;2022-02-27;5;Completed;24;2021-01-27;24;TV;41491
Nanatsu no Taizai: Imashime no Fukkatsu;2018-06-10;7;Completed;24;2018-06-02;24;TV;34577
Nanatsu no Taizai: Kamigami no Gekirin;2020-03-29;5;Completed;24;2019-10-10;24;TV;39701
Nanatsu no Taizai: Mokushiroku no Yonkishi;0000-00-00;0;Plan to Watch;0;0000-00-00;24;TV;51794
Nanatsu no Taizai: Seisen no Shirushi;2018-06-02;7;Completed;4;2018-06-02;4;TV;31722
Nekomonogatari: Kuro;2020-08-25;8;Completed;4;2020-08-24;4;TV Special;15689
Nekopara;2020-03-29;6;Completed;12;2020-01-09;12;TV;38924
New Game!;0000-00-00;0;Plan to Watch;0;0000-00-00;12;TV;31953
Nichijou;2020-07-02;8;Completed;26;2020-06-24;26;TV;10165
Nisemonogatari;2020-08-24;8;Completed;11;2020-08-19;11;TV;11597
No Guns Life;2019-12-19;7;Completed;12;2019-10-03;12;TV;39539
No Guns Life 2nd Season;2020-09-26;7;Completed;12;2020-07-10;12;TV;40529
Noragami;2020-07-27;8;Completed;12;2020-07-26;12;TV;20507
Noragami Aragoto;2020-07-29;9;Completed;13;2020-07-28;13;TV;30503
Noragami Aragoto OVA;2020-07-29;7;Completed;2;2020-07-29;2;OVA;30885
Noragami OVA;2020-07-27;7;Completed;2;2020-07-27;2;OVA;20767
Numa no Taishou;2020-01-27;4;Completed;1;2020-01-27;1;Movie;28049
Omoide no Marnie;2024-11-20;8;Completed;1;2024-11-20;1;Movie;21557
One Piece;0000-00-00;9;Watching;1123;2020-02-01;0;TV;21
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai;2024-06-12;7;Completed;1;2024-06-12;1;TV Special;25161
One Piece 3D: Mugiwara Chase;2020-11-23;7;Completed;1;2020-11-23;1;Movie;9999
One Piece Fan Letter;2024-10-21;10;Completed;1;2024-10-21;1;TV Special;60022
One Piece Film: Gold;2020-11-25;8;Completed;1;2020-11-25;1;Movie;31490
One Piece Film: Strong World;2020-11-16;8;Completed;1;2020-11-16;1;Movie;4155
One Piece Film: Strong World Episode 0;2020-11-16;8;Completed;1;2020-11-16;1;OVA;8740
One Piece Film: Z;2020-11-23;8;Completed;1;2020-11-23;1;Movie;12859
One Piece Movie 01;2020-10-30;7;Completed;1;2020-10-30;1;Movie;459
One Piece Movie 02: Nejimaki-jima no Daibouken;2020-10-30;7;Completed;1;2020-10-30;1;Movie;460
One Piece Movie 03: Chinjuu-jima no Chopper Oukoku;2020-10-30;7;Completed;1;2020-10-30;1;Movie;461
One Piece Movie 04: Dead End no Bouken;2020-10-31;7;Completed;1;2020-10-31;1;Movie;462
One Piece Movie 05: Norowareta Seiken;2020-10-31;6;Completed;1;2020-10-31;1;Movie;463
One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima;2020-10-31;9;Completed;1;2020-10-31;1;Movie;464
One Piece Movie 07: Karakuri-jou no Mecha Kyohei;2020-11-02;7;Completed;1;2020-11-02;1;Movie;465
One Piece Movie 08: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi;2020-11-03;7;Completed;1;2020-11-03;1;Movie;2107
One Piece Movie 09: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura;2020-11-09;6;Completed;1;2020-11-09;1;Movie;3848
One Piece Movie 14: Stampede;2020-11-26;8;Completed;1;2020-11-26;1;Movie;38234
One Piece: Adventure of Nebulandia;2024-06-12;7;Completed;1;2024-06-12;1;TV Special;32051
One Piece: Gyojin Tou-hen;0000-00-00;0;Watching;3;2024-11-14;21;TV;60108
One Piece: Heart of Gold;2024-06-13;8;Completed;1;2024-06-13;1;TV Special;33338
One Punch Man;2018-05-31;8;Completed;12;2018-05-31;12;TV;30276
One Punch Man 2nd Season;2019-07-02;7;Completed;12;2019-04-09;12;TV;34134
One Punch Man Specials;2020-07-31;8;Completed;6;2020-07-31;6;Special;31772
One Punch Man: Road to Hero;2020-07-31;7;Completed;1;2020-07-31;1;OVA;31704
One Room, Hiatari Futsuu, Tenshi-tsuki.;0000-00-00;0;Plan to Watch;0;0000-00-00;12;TV;56838
Ore dake Level Up na Ken;2024-04-23;7;Completed;12;2024-02-18;12;TV;52299
Ore wo Suki nano wa Omae dake ka yo;2019-12-25;8;Completed;12;2019-10-02;12;TV;38483
Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set;2020-09-04;8;Completed;1;2020-09-04;1;OVA;40936
Ousama Ranking;0000-00-00;0;Plan to Watch;0;0000-00-00;23;TV;40834
Overlord;2019-07-22;8;Completed;13;2019-07-22;13;TV;29803
Overlord II;2019-07-25;8;Completed;13;2019-07-23;13;TV;35073
Overlord III;2019-07-27;7;Completed;13;2019-07-25;13;TV;37675
Overlord IV;2022-11-23;8;Completed;13;2022-07-26;13;TV;48895
Owarimonogatari;2020-10-12;8;Completed;12;2020-09-28;12;TV;31181
Owarimonogatari 2nd Season;2020-10-22;10;Completed;7;2020-10-21;7;TV Special;35247
Paprika;0000-00-00;0;Plan to Watch;0;0000-00-00;1;Movie;1943
Perfect Blue;2024-06-08;10;Completed;1;2024-06-08;1;Movie;437
Ping Pong the Animation;2020-11-23;10;Completed;11;2020-11-22;11;TV;22135
Promare;2020-08-15;9;Completed;1;2020-08-15;1;Movie;35848
Promare: Galo-hen;2020-08-15;7;Completed;1;2020-08-15;1;ONA;39991
Promare: Lio-hen;2020-08-15;7;Completed;1;2020-08-15;1;ONA;40313
Pupa;2020-01-27;1;Completed;12;2020-01-27;12;TV;19315
Re:Zero kara Hajimeru Isekai Seikatsu;2019-07-31;9;Completed;25;2019-07-29;25;TV;31240
Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna;2020-05-23;8;Completed;1;2020-05-23;1;Movie;38414
Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow;2020-05-24;7;Completed;1;2020-05-24;1;Movie;36286
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season;2020-09-30;9;Completed;13;2020-07-10;13;TV;39587
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2;2021-07-05;7;Completed;12;2021-01-13;12;TV;42203
Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season;0000-00-00;0;Watching;8;2024-10-17;16;TV;54857
Redline;2024-06-06;8;Completed;1;2024-06-06;1;Movie;6675
Rikei ga Koi ni Ochita no de Shoumei shitemita.;2020-03-14;7;Completed;12;2020-01-10;12;TV;38992
Saikyou no Ousama, Nidome no Jinsei wa Nani wo Suru?;0000-00-00;0;Plan to Watch;0;0000-00-00;0;TV;60146
Sen to Chihiro no Kamikakushi;2021-01-03;9;Completed;1;2021-01-03;1;Movie;199
Senyuu.;2020-06-12;7;Completed;13;2020-06-12;13;TV;15751
Senyuu. 2;2020-06-12;7;Completed;13;2020-06-12;13;TV;18523
Shikanoko Nokonoko Koshitantan;2024-10-16;7;Completed;12;2024-07-07;12;TV;58426
Shin Evangelion Movie:||;2022-06-22;10;Completed;1;2022-06-22;1;Movie;3786
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru;2019-12-22;9;Completed;12;2019-10-03;12;TV;38659
Shingeki no Kyojin;2019-05-25;9;Completed;25;2019-05-23;25;TV;16498
Shingeki no Kyojin OVA;2019-05-25;7;Completed;3;2019-05-25;3;OVA;18397
Shingeki no Kyojin Season 2;2019-05-26;9;Completed;12;2019-05-26;12;TV;25777
Shingeki no Kyojin Season 3;2019-05-28;9;Completed;12;2019-05-27;12;TV;35760
Shingeki no Kyojin Season 3 Part 2;2019-06-30;10;Completed;10;2019-05-28;10;TV;38524
Shingeki no Kyojin: Kuinaki Sentaku;2019-05-25;8;Completed;2;2019-05-25;2;OVA;25781
Shingeki no Kyojin: Lost Girls;2020-06-12;7;Completed;3;2020-06-12;3;OVA;36106
Shingeki no Kyojin: The Final Season;2021-03-28;9;Completed;16;2020-10-06;16;TV;40028
Shingeki no Kyojin: The Final Season - Kanketsu-hen;2024-10-18;8;Completed;2;2024-10-17;2;TV Special;51535
Shingeki no Kyojin: The Final Season Part 2;2022-04-27;8;Completed;12;2022-02-27;12;TV;48583
Shinseiki Evangelion;2019-12-04;10;Completed;26;2019-11-25;26;TV;30
Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni;2019-12-07;10;Completed;1;2019-12-07;1;Movie;32
Shinsekai yori;0000-00-00;0;Plan to Watch;0;0000-00-00;25;TV;13125
Shoujo Shuumatsu Ryokou;0000-00-00;0;Plan to Watch;0;0000-00-00;12;TV;35838
SK∞;2021-04-04;8;Completed;12;2021-01-14;12;TV;42923
Sora yori mo Tooi Basho;2020-11-30;10;Completed;13;2020-11-28;13;TV;35839
Sousou no Frieren;2024-10-13;9;Completed;28;2024-10-06;28;TV;52991
Spy x Family;2022-07-25;8;Completed;12;2022-05-06;12;TV;50265
Spy x Family Part 2;0000-00-00;0;Plan to Watch;0;0000-00-00;13;TV;50602
"Steins;Gate";2019-06-24;10;Completed;24;2019-06-08;24;TV;9253
"Steins;Gate 0";2019-06-30;10;Completed;23;2019-06-24;23;TV;30484
"Steins;Gate 0: Kesshou Takei no Valentine - Bittersweet Intermedio";2019-06-24;8;Completed;1;2019-06-24;1;Special;37492
"Steins;Gate Movie: Fuka Ryouiki no Déjà vu";2019-06-24;10;Completed;1;2019-06-24;1;Movie;11577
"Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero";2019-07-24;9;Completed;1;2019-07-24;1;TV Special;32188
"Steins;Gate: Oukoubakko no Poriomania";2019-06-30;8;Completed;1;2019-06-30;1;Special;10863
"Steins;Gate: Soumei Eichi no Cognitive Computing";2019-06-30;8;Completed;4;2019-06-30;4;ONA;27957
Sword Art Online;2018-12-15;7;Completed;25;2018-12-11;25;TV;11757
Sword Art Online II;2018-12-19;8;Completed;24;2018-12-15;24;TV;21881
Sword Art Online II: Debriefing;2018-12-19;5;Completed;1;2018-12-19;1;TV Special;27891
Sword Art Online Movie: Ordinal Scale;2018-12-20;8;Completed;1;2018-12-20;1;Movie;31765
Sword Art Online: Alicization;2019-03-30;6;Completed;24;2018-12-22;24;TV;36474
Sword Art Online: Alicization - War of Underworld;2019-12-28;7;Completed;12;2019-10-12;12;TV;39597
Sword Art Online: Alicization - War of Underworld 2nd Season;2020-09-26;6;Completed;11;2020-07-18;11;TV;40540
Tamayomi;2020-06-18;6;Completed;12;2020-04-03;12;TV;39966
Tate no Yuusha no Nariagari;2019-06-26;7;Completed;25;2019-01-10;25;TV;35790
Tate no Yuusha no Nariagari Season 2;0000-00-00;0;Plan to Watch;0;0000-00-00;13;TV;40356
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari;2021-04-11;8;Completed;12;2021-01-16;12;TV;40594
Tenchi Souzou Design-bu;2021-03-27;7;Completed;12;2021-01-18;12;TV;41762
Tenchi Souzou Design-bu: Idea 13;2024-10-19;6;Completed;1;2024-10-19;1;Special;46587
Tengen Toppa Gurren Lagann;2020-07-12;9;Completed;27;2020-06-13;27;TV;2001
Tenki no Ko;2020-05-29;9;Completed;1;2020-05-29;1;Movie;38826
Tenkuu Danzai Skelter+Heaven;2020-04-26;1;Completed;1;2020-04-26;1;OVA;3287
Tenkuu no Shiro Laputa;2024-11-13;8;Completed;1;2024-11-13;1;Movie;513
Texhnolyze;0000-00-00;0;Plan to Watch;0;0000-00-00;22;TV;26
The God of High School;2020-09-30;7;Completed;13;2020-07-06;13;TV;41353
Tonari no Totoro;2024-11-10;10;Completed;1;2024-11-10;1;Movie;523
Tonikaku Kawaii;2020-12-27;7;Completed;12;2020-10-13;12;TV;41389
Tonikaku Kawaii 2nd Season;2024-11-07;7;Completed;12;2024-10-31;12;TV;50307
Tonikaku Kawaii: Joshikou-hen;2024-11-07;8;Completed;4;2024-11-07;4;ONA;55651
Tonikaku Kawaii: Seifuku;2024-10-19;6;Completed;1;2024-10-19;1;Special;51533
Tonikaku Kawaii: SNS;2024-10-19;7;Completed;1;2024-10-19;1;OVA;44931
Trigun;2020-07-23;10;Completed;26;2020-07-18;26;TV;6
Trigun Stampede;0000-00-00;0;Plan to Watch;0;0000-00-00;12;TV;52093
Trigun: Badlands Rumble;2020-07-26;9;Completed;1;2020-07-26;1;Movie;4106
Tsukimonogatari;2020-09-26;8;Completed;4;2020-09-22;4;TV Special;28025
Uchuu Kyoudai;0000-00-00;0;Plan to Watch;0;0000-00-00;99;TV;12431
Uzaki-chan wa Asobitai!;2020-09-25;7;Completed;12;2020-07-13;12;TV;41226
Uzaki-chan wa Asobitai! Double;0000-00-00;0;Plan to Watch;0;0000-00-00;13;TV;42962
Vampire Hunter D (2000);2024-11-15;7;Completed;1;2024-11-15;1;Movie;543
Vinland Saga;2019-12-30;9;Completed;24;2019-07-13;24;TV;37521
Vinland Saga Season 2;2024-10-26;9;Completed;24;2024-10-19;24;TV;49387
Wave!! Surfing Yappe!! (TV);2021-04-11;6;Completed;12;2021-01-14;12;TV;46118
Wonder Egg Priority;2021-04-17;8;Completed;12;2021-01-16;12;TV;43299
Yakusoku no Neverland;2019-05-17;8;Completed;12;2019-01-09;12;TV;37779
Yakusoku no Neverland 2nd Season;2021-04-11;6;Completed;11;2021-01-13;11;TV;39617
Yamada-kun to 7-nin no Majo;2020-10-05;8;Completed;12;2020-09-28;12;TV;28677
Yojouhan Shinwa Taikei;0000-00-00;0;Plan to Watch;0;0000-00-00;11;TV;7785
Youjo Senki;2018-06-10;8;Completed;12;2018-06-08;12;TV;32615
Youjo Senki Movie;2020-05-23;8;Completed;1;2020-05-23;1;Movie;37055
Youjo Senki: Sabaku no Pasta Daisakusen;2024-06-10;7;Completed;1;2024-06-10;1;ONA;49236
Yuru Camp△;2018-12-05;8;Completed;12;2018-12-01;12;TV;34798
Yuru Camp△ Movie;2024-06-10;8;Completed;1;2024-06-10;1;Movie;38475
Yuru Camp△ Season 2;2021-04-02;8;Completed;13;2021-01-14;13;TV;38474
Yuru Camp△ Season 2 Specials;2024-10-25;6;Completed;2;2024-10-25;2;Special;49026
Yuru Camp△ Season 3;2024-06-28;7;Completed;12;2024-06-20;12;TV;53410
Yuru Camp△ Season 3 Specials;2024-10-25;7;Completed;3;2024-10-25;3;Special;58855
Yuru Camp△ Season 4;0000-00-00;0;Plan to Watch;0;0000-00-00;0;TV;60267
Yuru Camp△ Specials;2024-10-25;6;Completed;3;2024-10-25;3;Special;37341
Yuu☆Yuu☆Hakusho;2022-09-10;9;Completed;112;2020-10-20;112;TV;392
Zoku Owarimonogatari;2020-10-29;9;Completed;6;2020-10-24;6;TV;36999
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto;2024-02-13;7;Completed;12;2023-07-09;12;TV;54112
